"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login with multiple accounts from Excel using Hashtable","7790","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu Apr 16 09:09:54 UTC 2026","passed","Thu Apr 16 09:10:02 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","7361","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu Apr 16 09:10:03 UTC 2026","passed","Thu Apr 16 09:10:10 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16612","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu Apr 16 09:10:29 UTC 2026","passed","Thu Apr 16 09:10:45 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login success with valid email and password from Properties","7535","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","Thu Apr 16 09:11:03 UTC 2026","passed","Thu Apr 16 09:11:10 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify that user can place an order successfully with dynamic products from Excel","2","testOrderSuccess","Ecommerce CMS Sequential Suite","Thu Apr 16 09:11:10 UTC 2026","broken","Thu Apr 16 09:11:10 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","17999","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu Apr 16 09:10:10 UTC 2026","passed","Thu Apr 16 09:10:28 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16679","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu Apr 16 09:10:46 UTC 2026","passed","Thu Apr 16 09:11:02 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
