"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression Test CMS","0","Login functionality","10","0","","0"
"0","Regression Test CMS","0","Order Management","2","0","","0"
"0","Regression Test CMS","0","Product Information","2","0","","0"
