"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login with multiple accounts from Excel using Hashtable","6217","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15769","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15635","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","8015","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15720","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15618","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","6611","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify that user can place an order successfully with dynamic products from Excel","29757","testOrderSuccess","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","5726","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify product detailed information from dynamic Excel data","26233","testGetProductInfo","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login success with valid email and password from Properties","6439","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify that user can place an order successfully with dynamic products from Excel","25936","testOrderSuccess","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify product detailed information from dynamic Excel data","25963","testGetProductInfo","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login success with valid email and password from Properties","6224","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","2026-08-15","passed","2026-08-15","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
