"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify product detailed information from dynamic Excel data","24783","testGetProductInfo","Ecommerce CMS Sequential Suite","Thu May 07 14:01:47 UTC 2026","passed","Thu May 07 14:02:12 UTC 2026","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login with multiple accounts from Excel using Hashtable","16803","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 14:00:08 UTC 2026","passed","Thu May 07 14:00:24 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify that user can place an order successfully with dynamic products from Excel","22735","testOrderSuccess","Ecommerce CMS Sequential Suite","Thu May 07 14:01:00 UTC 2026","passed","Thu May 07 14:01:23 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","16128","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:57:39 UTC 2026","passed","Thu May 07 13:57:55 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify product detailed information from dynamic Excel data","22170","testGetProductInfo","Ecommerce CMS Sequential Suite","Thu May 07 13:59:14 UTC 2026","failed","Thu May 07 13:59:37 UTC 2026","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login success with valid email and password from Properties","6607","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","Thu May 07 13:58:12 UTC 2026","passed","Thu May 07 13:58:19 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify login with multiple accounts from Excel using Hashtable","6741","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:59:44 UTC 2026","passed","Thu May 07 13:59:51 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login success with valid email and password from Properties","6569","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","Thu May 07 14:00:25 UTC 2026","passed","Thu May 07 14:00:31 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify login with multiple accounts from Excel using Hashtable","16130","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:59:51 UTC 2026","passed","Thu May 07 14:00:07 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16046","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:57:55 UTC 2026","passed","Thu May 07 13:58:12 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","6295","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:59:37 UTC 2026","passed","Thu May 07 13:59:44 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","11217","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:57:20 UTC 2026","passed","Thu May 07 13:57:32 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify that user can place an order successfully with dynamic products from Excel","26957","testOrderSuccess","Ecommerce CMS Sequential Suite","Thu May 07 13:58:36 UTC 2026","passed","Thu May 07 13:59:03 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","6454","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Thu May 07 13:57:32 UTC 2026","passed","Thu May 07 13:57:39 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
