"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login success with valid email and password from Properties","5920","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify product detailed information from dynamic Excel data","10645","testGetProductInfo","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login with multiple accounts from Excel using Hashtable","7093","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15284","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15401","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15068","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify product detailed information from dynamic Excel data","21478","testGetProductInfo","Ecommerce CMS Sequential Suite","2026-06-11","failed","2026-06-11","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","testGetProductInfo"
"Verify login with multiple accounts from Excel using Hashtable","15211","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login success with valid email and password from Properties","5674","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify that user can place an order successfully with dynamic products from Excel","25466","testOrderSuccess","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","5381","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify that user can place an order successfully with dynamic products from Excel","29881","testOrderSuccess","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login with multiple accounts from Excel using Hashtable","5801","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","6064","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","2026-06-11","passed","2026-06-11","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
