"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login with multiple accounts from Excel using Hashtable","16299","testLoginMultipleAccounts","Surefire suite","Mon Apr 20 15:10:35 UTC 2026","passed","Mon Apr 20 15:10:51 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login success with valid email and password from Properties","6999","testLoginSuccessFromProperties","Surefire suite","Mon Apr 20 15:11:08 UTC 2026","passed","Mon Apr 20 15:11:15 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify login with multiple accounts from Excel using Hashtable","6282","testLoginMultipleAccounts","Surefire suite","Mon Apr 20 15:10:28 UTC 2026","passed","Mon Apr 20 15:10:34 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","11729","testLoginMultipleAccounts","Surefire suite","Mon Apr 20 15:10:16 UTC 2026","passed","Mon Apr 20 15:10:28 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","15911","testLoginMultipleAccounts","Surefire suite","Mon Apr 20 15:10:51 UTC 2026","passed","Mon Apr 20 15:11:07 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
