"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login success with valid email and password from Properties","6248","testLoginSuccessFromProperties","Surefire suite","Thu Apr 16 13:41:42 UTC 2026","passed","Thu Apr 16 13:41:49 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify login with multiple accounts from Excel using Hashtable","14940","testLoginMultipleAccounts","Surefire suite","Thu Apr 16 13:41:27 UTC 2026","passed","Thu Apr 16 13:41:42 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","6366","testLoginMultipleAccounts","Surefire suite","Thu Apr 16 13:40:46 UTC 2026","passed","Thu Apr 16 13:40:53 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","17038","testLoginMultipleAccounts","Surefire suite","Thu Apr 16 13:40:53 UTC 2026","passed","Thu Apr 16 13:41:10 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16081","testLoginMultipleAccounts","Surefire suite","Thu Apr 16 13:41:11 UTC 2026","passed","Thu Apr 16 13:41:27 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","10394","testLoginMultipleAccounts","Surefire suite","Thu Apr 16 13:40:36 UTC 2026","passed","Thu Apr 16 13:40:46 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
