"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user can place an order successfully with dynamic products from Excel","34276","testOrderSuccess","Ecommerce CMS Sequential Suite","Wed Apr 22 14:52:22 UTC 2026","passed","Wed Apr 22 14:52:56 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","testOrderSuccess"
"Verify login success with valid email and password from Properties","6660","testLoginSuccessFromProperties","Ecommerce CMS Sequential Suite","Wed Apr 22 14:52:14 UTC 2026","passed","Wed Apr 22 14:52:21 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify that user can update basic profile information with multiple data sets","1","testUpdateProfile","Ecommerce CMS Sequential Suite","Wed Apr 22 14:52:56 UTC 2026","broken","Wed Apr 22 14:52:56 UTC 2026","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","testUpdateProfile"
"Verify login with multiple accounts from Excel using Hashtable","6779","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Wed Apr 22 14:51:33 UTC 2026","passed","Wed Apr 22 14:51:39 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16944","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Wed Apr 22 14:51:40 UTC 2026","passed","Wed Apr 22 14:51:57 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","7318","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Wed Apr 22 14:51:25 UTC 2026","passed","Wed Apr 22 14:51:32 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16982","testLoginMultipleAccounts","Ecommerce CMS Sequential Suite","Wed Apr 22 14:51:57 UTC 2026","passed","Wed Apr 22 14:52:14 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
