"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login with multiple accounts from Excel using Hashtable","6110","testLoginMultipleAccounts","Surefire suite","Wed Apr 22 14:51:49 UTC 2026","passed","Wed Apr 22 14:51:56 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","7094","testLoginMultipleAccounts","Surefire suite","Wed Apr 22 14:51:42 UTC 2026","passed","Wed Apr 22 14:51:49 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login success with valid email and password from Properties","6508","testLoginSuccessFromProperties","Surefire suite","Wed Apr 22 14:52:30 UTC 2026","passed","Wed Apr 22 14:52:37 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccessFromProperties"
"Verify login with multiple accounts from Excel using Hashtable","16825","testLoginMultipleAccounts","Surefire suite","Wed Apr 22 14:51:56 UTC 2026","passed","Wed Apr 22 14:52:13 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
"Verify login with multiple accounts from Excel using Hashtable","16383","testLoginMultipleAccounts","Surefire suite","Wed Apr 22 14:52:13 UTC 2026","passed","Wed Apr 22 14:52:30 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Surefire test","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginMultipleAccounts"
